"case_id","title","category","concept_tag","symptom","topology_note","show_outputs","expected_fault","expected_root_cause","osi_layer","severity","expected_next_command","expected_fix_steps","source_lab","difficulty"
"NS-011","DHCP hands out the wrong default gateway","DHCP","dhcp-option-wrong","Hosts get an address in the right subnet and can ping each other, but nothing off-subnet works. The problem affects every host in the VLAN.","VLAN 20 = 10.10.20.0/24, gateway 10.10.20.1. The pool was copied from the VLAN 10 pool during a config change.","R1# show running-config | section dhcp pool ENG
ip dhcp pool ENG
 network 10.10.20.0 255.255.255.0
 default-router 10.10.10.1
 dns-server 10.10.99.53

PC7> ipconfig
IPv4 Address: 10.10.20.31
Subnet Mask: 255.255.255.0
Default Gateway: 10.10.10.1

PC7> ping 10.10.20.1
Reply from 10.10.20.1: bytes=32 time<1ms TTL=255","The ENG pool advertises default-router 10.10.10.1, an address that is not reachable on the VLAN 20 segment; the correct gateway 10.10.20.1 is up.","dhcp_wrong_default_router","L3","High","show running-config | section dhcp","R1(config)# ip dhcp pool ENG | default-router 10.10.20.1 ; clear ip dhcp binding *, renew on hosts, and confirm ipconfig shows the corrected gateway.","lab-dhcp.pkt","Easy"
"NS-012","Rogue DHCP server on the access layer","DHCP","rogue-dhcp","Roughly half of the hosts in VLAN 10 get a 192.168.1.x address instead of 10.10.10.x. Which hosts are affected changes after each reboot.","A user plugged a home wireless router into SW1 Fa0/22 last week. DHCP snooping is not configured.","PC3> ipconfig
IPv4 Address: 192.168.1.104
Subnet Mask: 255.255.255.0
Default Gateway: 192.168.1.1

PC4> ipconfig
IPv4 Address: 10.10.10.203
Default Gateway: 10.10.10.1

SW1# show mac address-table interface Fa0/22
  10   0001.6440.aa10   DYNAMIC  Fa0/22

SW1# show ip dhcp snooping
Switch DHCP snooping is disabled","An unauthorised DHCP server on Fa0/22 races the legitimate server; hosts that accept its OFFER first receive a 192.168.1.0/24 lease and an unreachable gateway.","rogue_dhcp_server","L2/L3","Critical","show ip dhcp snooping","Disconnect or shut Fa0/22, then enable ip dhcp snooping for VLAN 10 and mark only the uplink toward the real server as trusted; renew clients and confirm all leases are 10.10.10.x.","lab-dhcp-security.pkt","Hard"
"NS-013","No DNS server configured on host","DNS","dns-client-config","PC6 can ping 10.10.99.20 by address but browsing to http://intranet.lab.local fails immediately.","Internal DNS server is 10.10.99.53 and holds the lab.local zone. PC6 is statically addressed.","PC6> ipconfig /all
IPv4 Address: 10.10.20.60
Subnet Mask: 255.255.255.0
Default Gateway: 10.10.20.1
DNS Servers: 0.0.0.0

PC6> ping 10.10.99.20
Reply from 10.10.99.20: bytes=32 time=2ms TTL=126

PC6> nslookup intranet.lab.local
Non-authoritative answer:
*** Can't find server name","The host has no DNS server address, so name resolution fails while IP connectivity is fine — a Layer 7 problem, not a routing problem.","dns_client_not_configured","L7","Medium","ipconfig /all on PC6","Set the DNS server to 10.10.99.53 on PC6 (or move it to DHCP so it inherits the dns-server option); re-test with nslookup intranet.lab.local.","lab-dns.pkt","Easy"
"NS-014","ACL blocking DNS on UDP 53","DNS","dns-blocked-by-acl","All VLAN 30 hosts fail name resolution. They can ping the DNS server's IP address successfully.","An inbound ACL 130 was applied to R1 Gi0/0.30 to restrict guest-adjacent traffic. DNS lives at 10.10.99.53.","PC11> nslookup www.lab.local
DNS request timed out.

PC11> ping 10.10.99.53
Reply from 10.10.99.53: bytes=32 time=3ms TTL=126

R1# show access-lists 130
Extended IP access list 130
 10 permit icmp 10.10.30.0 0.0.0.255 any (412 matches)
 20 permit tcp 10.10.30.0 0.0.0.255 any eq 80 (88 matches)
 30 permit tcp 10.10.30.0 0.0.0.255 any eq 443 (140 matches)
 40 deny ip any any (263 matches)

R1# show ip interface Gi0/0.30 | include access list
  Inbound  access list is 130","ACL 130 permits ICMP, HTTP and HTTPS but never permits UDP 53, so DNS queries hit the implicit-style deny at line 40 (263 matches).","acl_blocks_dns","L4/L7","High","show access-lists 130","R1(config)# ip access-list extended 130 | 35 permit udp 10.10.30.0 0.0.0.255 host 10.10.99.53 eq 53 ; re-run nslookup and confirm the new line increments matches while line 40 stops growing.","lab-acl.pkt","Medium"
"NS-015","Missing A record on the DNS server","DNS","dns-record-missing","http://files.lab.local fails from every VLAN, but http://intranet.lab.local works from the same hosts.","Single internal DNS server 10.10.99.53 serving lab.local. The file server was re-addressed to 10.10.99.25 yesterday.","PC2> nslookup intranet.lab.local
Server: 10.10.99.53
Address: 10.10.99.53
Name: intranet.lab.local
Address: 10.10.99.20

PC2> nslookup files.lab.local
Server: 10.10.99.53
*** 10.10.99.53 can't find files.lab.local: Non-existent domain

PC2> ping 10.10.99.25
Reply from 10.10.99.25: bytes=32 time=2ms TTL=126","The DNS zone has no A record for files.lab.local even though the host is up at 10.10.99.25; resolution of other names proves the server itself is healthy.","dns_record_missing","L7","Medium","nslookup files.lab.local","Add A record files.lab.local -> 10.10.99.25 in the DNS service on 10.10.99.53; flush the client resolver cache and re-test nslookup and the browser.","lab-dns.pkt","Easy"
"NS-016","Router name lookup fails but hosts resolve fine","DNS","router-dns-lookup","An engineer typing 'ping server1' on R1 gets a translation error and a long hang. Client PCs resolve names normally.","R1 is used as a jump point for testing. Internal DNS is 10.10.99.53.","R1# ping server1
Translating ""server1""...domain server (255.255.255.255)
% Unrecognized host or address, or protocol not running.

R1# show running-config | include domain
ip domain-lookup
no ip name-server

R1# ping 10.10.99.53
Success rate is 100 percent (5/5), round-trip min/avg/max = 1/2/4 ms","R1 has ip domain-lookup enabled but no ip name-server configured, so it broadcasts lookups to 255.255.255.255 and times out. Client-side DNS is unaffected.","router_name_server_missing","L7","Low","show running-config | include domain","R1(config)# ip name-server 10.10.99.53 | ip domain-name lab.local ; re-run ping server1 and confirm it translates. Optionally add 'no ip domain-lookup' on lab devices to avoid typo hangs.","lab-dns.pkt","Easy"
"NS-017","Missing return static route","Routing","static-route-missing","Hosts on the 10.10.10.0/24 LAN cannot reach the 172.16.50.0/24 branch LAN. Pings from R1 to R2's WAN interface succeed.","R1 (HQ) and R2 (Branch) are joined by a serial link 192.168.100.0/30. Static routing only, no dynamic protocol.","R1# show ip route static
S    172.16.50.0/24 [1/0] via 192.168.100.2

R2# show ip route static
(no static routes)

R2# show ip route | begin Gateway
Gateway of last resort is not set
     172.16.0.0/24 is subnetted, 1 subnets
C       172.16.50.0 is directly connected, GigabitEthernet0/0
     192.168.100.0/30 is subnetted, 1 subnets
C       192.168.100.0 is directly connected, Serial0/0/0

PC1> tracert 172.16.50.10
 1  10.10.10.1
 2  *  *  *  Request timed out.","R2 has no route back to 10.10.10.0/24, so echo requests arrive but replies are dropped. The forward path is fine, which is why the trace dies after the first hop.","missing_return_route","L3","High","show ip route on R2","R2(config)# ip route 10.10.10.0 255.255.255.0 192.168.100.1 (or a default route toward HQ); confirm with show ip route and an end-to-end ping from PC1.","lab-static-routing.pkt","Medium"
"NS-018","OSPF area mismatch prevents adjacency","Routing","ospf-area-mismatch","R1 and R3 never form an OSPF neighbour relationship. The link is up and the two WAN addresses ping each other.","R1 Se0/0/1 192.168.200.1/30 to R3 Se0/0/0 192.168.200.2/30. Both should be in area 0.","R1# show ip ospf neighbor
(no output)

R1# show running-config | section router ospf
router ospf 1
 network 192.168.200.0 0.0.0.3 area 0
 network 10.10.10.0 0.0.0.255 area 0

R3# show running-config | section router ospf
router ospf 1
 network 192.168.200.0 0.0.0.3 area 1
 network 172.16.60.0 0.0.0.255 area 1

R1# show ip ospf interface Se0/0/1 | include Area
  Process ID 1, Router ID 10.10.10.1, Network Type POINT_TO_POINT, Cost: 64
  Area 0","The shared link is in area 0 on R1 and area 1 on R3. OSPF hellos are discarded because the area ID field does not match, so no adjacency forms.","ospf_area_mismatch","L3","High","show ip ospf neighbor","R3(config)# router ospf 1 | no network 192.168.200.0 0.0.0.3 area 1 | network 192.168.200.0 0.0.0.3 area 0 ; verify a FULL neighbour with show ip ospf neighbor.","lab-ospf.pkt","Hard"
"NS-019","Wrong wildcard mask in OSPF network statement","Routing","ospf-wildcard-mask","OSPF is up between routers, but the 10.10.20.0/24 Engineering LAN never appears in remote routing tables.","R1 advertises three LANs plus the WAN link. Adjacency with R2 is FULL.","R1# show ip ospf neighbor
Neighbor ID  Pri  State     Address          Interface
10.10.99.1     0  FULL/  -  192.168.100.2    Serial0/0/0

R1# show running-config | section router ospf
router ospf 1
 network 10.10.10.0 0.0.0.255 area 0
 network 10.10.20.0 0.0.0.0 area 0
 network 192.168.100.0 0.0.0.3 area 0

R1# show ip ospf interface brief
Interface  PID  Area  IP Address/Mask     Cost  State
Se0/0/0    1    0     192.168.100.1/30    64    P2P
Gi0/0.10   1    0     10.10.10.1/24       1     DR

R2# show ip route ospf
O    10.10.10.0/24 [110/65] via 192.168.100.1","The wildcard 0.0.0.0 matches only the exact address 10.10.20.0, which is not assigned to any interface, so Gi0/0.20 is never enabled for OSPF and the LAN is not advertised.","ospf_wrong_wildcard","L3","Medium","show ip ospf interface brief","R1(config)# router ospf 1 | no network 10.10.20.0 0.0.0.0 area 0 | network 10.10.20.0 0.0.0.255 area 0 ; confirm Gi0/0.20 appears in show ip ospf interface brief and the route reaches R2.","lab-ospf.pkt","Hard"
"NS-020","No default route toward the ISP","Routing","default-route-missing","Internal traffic between all LANs works. No host can reach 8.8.8.8 or any external address.","R1 Gi0/1 connects to ISP router at 203.0.113.1/30. NAT is configured and appears healthy.","R1# show ip route | begin Gateway
Gateway of last resort is not set
     10.0.0.0/24 is subnetted, 3 subnets
C       10.10.10.0 is directly connected, GigabitEthernet0/0.10
C       10.10.20.0 is directly connected, GigabitEthernet0/0.20
C       10.10.30.0 is directly connected, GigabitEthernet0/0.30
     203.0.113.0/30 is subnetted, 1 subnets
C       203.0.113.0 is directly connected, GigabitEthernet0/1

R1# ping 203.0.113.1
Success rate is 100 percent (5/5)

R1# ping 8.8.8.8
Success rate is 0 percent (0/5)","'Gateway of last resort is not set' — R1 has no default route, so any destination outside the connected subnets is dropped even though the ISP next-hop is reachable.","default_route_missing","L3","Critical","show ip route","R1(config)# ip route 0.0.0.0 0.0.0.0 203.0.113.1 ; confirm 'Gateway of last resort is 203.0.113.1' and ping 8.8.8.8 from R1 then from a host.","lab-wan-edge.pkt","Easy"
"NS-021","ACL applied in the wrong direction","ACL","acl-direction","An ACL intended to stop Guest VLAN 30 from reaching the server VLAN has instead blocked all traffic from the server VLAN, including replies to Sales.","ACL 110 was written to deny 10.10.30.0/24 to 10.10.99.0/24 and was applied on R1 Gi0/0.99.","R1# show access-lists 110
Extended IP access list 110
 10 deny ip 10.10.30.0 0.0.0.255 10.10.99.0 0.0.0.255 (0 matches)
 20 permit ip any any (12 matches)

R1# show ip interface Gi0/0.99 | include access list
  Outgoing access list is not set
  Inbound  access list is 110

PC-GUEST> ping 10.10.99.20
Reply from 10.10.99.20: bytes=32 time=3ms TTL=127","ACL 110 is applied inbound on the server subinterface, so it only sees traffic sourced from 10.10.99.0/24 and never matches guest traffic (0 matches on the deny line).","acl_wrong_direction","L3/L4","High","show ip interface Gi0/0.99 | include access list","R1(config)# interface Gi0/0.99 | no ip access-group 110 in | ip access-group 110 out — or better, apply it inbound on Gi0/0.30 closest to the source; re-test and confirm the deny line increments.","lab-acl.pkt","Medium"
"NS-022","Implicit deny drops return traffic","ACL","acl-implicit-deny","Hosts behind R1 can send traffic out to the internet but no replies come back. Outbound counters increase, inbound sessions never complete.","ACL 101 was applied inbound on the WAN interface Gi0/1 to filter unsolicited traffic.","R1# show access-lists 101
Extended IP access list 101
 10 permit tcp any host 203.0.113.2 eq 22 (0 matches)
 20 permit icmp any any echo (0 matches)
 (implicit deny — 1874 matches shown via 'show ip access-lists 101' counters)

R1# show ip interface Gi0/1 | include access list
  Inbound  access list is 101

PC1> ping 8.8.8.8
Request timed out.

R1# show ip nat translations | count
Number of lines which match regexp = 26","ACL 101 has no permit for established/return traffic, so the implicit deny at the end discards echo-replies and TCP ACKs coming back from the internet.","acl_blocks_return_traffic","L4","Critical","show access-lists 101","R1(config)# ip access-list extended 101 | 15 permit tcp any any established | 25 permit icmp any any echo-reply ; or replace the ACL with a zone-based/reflexive policy. Confirm ping and TCP sessions complete.","lab-acl.pkt","Hard"
"NS-023","ACL rule ordering — deny placed before permit","ACL","acl-rule-order","The HR manager's PC (10.10.30.25) is supposed to be exempt from the guest restriction but is still blocked from the server VLAN.","ACL 120 is applied inbound on R1 Gi0/0.30.","R1# show access-lists 120
Extended IP access list 120
 10 deny ip 10.10.30.0 0.0.0.255 10.10.99.0 0.0.0.255 (57 matches)
 20 permit ip host 10.10.30.25 10.10.99.0 0.0.0.255 (0 matches)
 30 permit ip any any (204 matches)

R1# show ip interface Gi0/0.30 | include access list
  Inbound  access list is 120

PC-HR> ping 10.10.99.20
Request timed out.","ACLs are evaluated top-down. Line 10 denies the whole 10.10.30.0/24 subnet before line 20 can permit the manager's host, which is why line 20 has 0 matches.","acl_rule_order","L3/L4","Medium","show access-lists 120","R1(config)# ip access-list extended 120 | no 20 | 5 permit ip host 10.10.30.25 10.10.99.0 0.0.0.255 ; re-test from PC-HR and confirm line 5 increments while line 10 still blocks other guests.","lab-acl.pkt","Medium"
"NS-024","ACL applied to the wrong interface","ACL","acl-wrong-interface","A restriction meant only for the Guest VLAN is affecting Engineering users, who have lost access to the file server.","Guest is VLAN 30 on Gi0/0.30; Engineering is VLAN 20 on Gi0/0.20.","R1# show ip interface brief | include Gi0/0
GigabitEthernet0/0.20  10.10.20.1  YES manual up  up
GigabitEthernet0/0.30  10.10.30.1  YES manual up  up

R1# show running-config | section interface GigabitEthernet0/0.20
interface GigabitEthernet0/0.20
 encapsulation dot1Q 20
 ip address 10.10.20.1 255.255.255.0
 ip access-group GUEST_RESTRICT in

R1# show access-lists GUEST_RESTRICT
Extended IP access list GUEST_RESTRICT
 10 deny tcp any 10.10.99.0 0.0.0.255 eq 445 (39 matches)
 20 permit ip any any (611 matches)","GUEST_RESTRICT is applied inbound on Gi0/0.20 (Engineering) instead of Gi0/0.30 (Guest), so the SMB deny is hitting the wrong user population.","acl_wrong_interface","L3/L4","High","show running-config | section interface GigabitEthernet0/0.20","R1(config)# interface Gi0/0.20 | no ip access-group GUEST_RESTRICT in ; interface Gi0/0.30 | ip access-group GUEST_RESTRICT in ; verify Engineering regains SMB and Guest loses it.","lab-acl.pkt","Easy"
"NS-025","Missing ip nat inside/outside designation","NAT","nat-interface-designation","Internal hosts cannot reach the internet. R1 itself can ping 8.8.8.8 successfully.","R1 Gi0/0 faces the LAN, Gi0/1 faces the ISP. PAT overload is configured with ACL 1.","R1# show ip nat statistics
Total active translations: 0 (0 static, 0 dynamic; 0 extended)
Outside interfaces:
  GigabitEthernet0/1
Inside interfaces:

Hits: 0  Misses: 0

R1# show running-config | include ip nat
 ip nat outside
ip nat inside source list 1 interface GigabitEthernet0/1 overload

R1# ping 8.8.8.8
Success rate is 100 percent (5/5)

PC1> ping 8.8.8.8
Request timed out.","No interface is marked 'ip nat inside', so the NAT process never sees LAN traffic — the Inside interfaces list is empty and translations stay at 0.","nat_missing_inside_interface","L3","Critical","show ip nat statistics","R1(config)# interface Gi0/0 | ip nat inside (repeat on each LAN subinterface if using router-on-a-stick); re-test from PC1 and confirm entries in show ip nat translations.","lab-nat.pkt","Medium"
"NS-026","NAT ACL does not match the LAN subnet","NAT","nat-acl-mismatch","VLAN 10 hosts reach the internet fine. VLAN 20 hosts cannot, though they route to R1 correctly.","PAT overload on R1 Gi0/1 using ACL 1 to select which sources get translated.","R1# show access-lists 1
Standard IP access list 1
 10 permit 10.10.10.0, wildcard bits 0.0.0.255 (2043 matches)

R1# show running-config | include ip nat inside source
ip nat inside source list 1 interface GigabitEthernet0/1 overload

R1# show ip nat translations | include 10.10.20
(no output)

PC7> tracert 8.8.8.8
 1  10.10.20.1
 2  203.0.113.1
 3  *  *  *  Request timed out.","ACL 1 only permits 10.10.10.0/24, so VLAN 20 traffic leaves R1 with its private source address untranslated and the reply never returns.","nat_acl_missing_subnet","L3","High","show access-lists 1","R1(config)# access-list 1 permit 10.10.20.0 0.0.0.255 ; clear ip nat translation *, re-test from PC7, and confirm a translation appears for 10.10.20.x.","lab-nat.pkt","Medium"
"NS-027","Dynamic NAT pool exhausted (missing overload)","NAT","nat-pool-exhaustion","Only a handful of users can browse at any one time. Others get timeouts until someone else's session ends.","R1 uses a dynamic NAT pool of four public addresses rather than PAT.","R1# show ip nat statistics
Total active translations: 4 (0 static, 4 dynamic; 0 extended)
Hits: 9821  Misses: 3170
Pool PUBPOOL refcount 4
 netmask 255.255.255.248
 start 203.0.113.8 end 203.0.113.11
 type generic, total addresses 4, allocated 4 (100%), misses 3170

R1# show running-config | include ip nat inside source
ip nat inside source list 1 pool PUBPOOL","A one-to-one dynamic NAT pool of four addresses is fully allocated; every additional host is a miss. The overload keyword (PAT) is absent.","nat_pool_exhausted","L3/L4","High","show ip nat statistics","R1(config)# no ip nat inside source list 1 pool PUBPOOL | ip nat inside source list 1 pool PUBPOOL overload ; clear ip nat translation * and confirm 'extended' translations appear and misses stop climbing.","lab-nat.pkt","Hard"
"NS-028","Static NAT maps to the wrong inside address","NAT","static-nat-wrong-mapping","External users browsing to 203.0.113.5 get the wrong application — they land on the intranet portal instead of the public web server.","Web server is 10.10.99.30; intranet portal is 10.10.99.20. A static NAT entry publishes the web server.","R1# show ip nat translations
Pro  Inside global      Inside local       Outside local      Outside global
---  203.0.113.5        10.10.99.20        ---                ---

R1# show running-config | include ip nat inside source static
ip nat inside source static 10.10.99.20 203.0.113.5

R1# ping 10.10.99.30
Success rate is 100 percent (5/5)","The static NAT statement maps the public address to 10.10.99.20 (intranet) instead of 10.10.99.30 (public web server). Both hosts are up, so this is a mapping error, not reachability.","static_nat_wrong_inside_local","L3","Medium","show ip nat translations","R1(config)# no ip nat inside source static 10.10.99.20 203.0.113.5 | ip nat inside source static 10.10.99.30 203.0.113.5 ; clear ip nat translation * and verify from outside.","lab-nat.pkt","Easy"
